"2022-09-13 16:04:06 [restartedMain] INFO  c.c.c.CaloriesValuesApplication - Starting CaloriesValuesApplication using Java 17.0.2 on DESKTOP-GTO23AL with PID 1896 (C:\Users\Logesh\Desktop\Portfolio project\CalorieValues\target\classes started by Logesh in C:\Users\Logesh\Desktop\Portfolio project\CalorieValues)
""2022-09-13 16:04:06 [restartedMain] INFO  c.c.c.CaloriesValuesApplication - No active profile set, falling back to 1 default profile: "default"
""2022-09-13 16:04:06 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2022-09-13 16:04:06 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2022-09-13 16:04:18 [restartedMain] INFO  c.c.c.CaloriesValuesApplication - Starting CaloriesValuesApplication using Java 17.0.2 on DESKTOP-GTO23AL with PID 8720 (C:\Users\Logesh\Desktop\Portfolio project\CalorieValues\target\classes started by Logesh in C:\Users\Logesh\Desktop\Portfolio project\CalorieValues)
""2022-09-13 16:04:18 [restartedMain] INFO  c.c.c.CaloriesValuesApplication - No active profile set, falling back to 1 default profile: "default"
""2022-09-13 16:04:18 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2022-09-13 16:04:18 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2022-09-13 16:04:21 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2022-09-13 16:04:21 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 88 ms. Found 1 JPA repository interfaces.
""2022-09-13 16:04:22 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=94d6edbf-011c-3a1a-ab76-5c6ae38a2b70
""2022-09-13 16:04:23 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
""2022-09-13 16:04:23 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2022-09-13 16:04:23 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
""2022-09-13 16:04:24 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2022-09-13 16:04:24 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5902 ms
""2022-09-13 16:04:24 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2022-09-13 16:04:25 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2022-09-13 16:04:25 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2022-09-13 16:04:25 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
""2022-09-13 16:04:26 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2022-09-13 16:04:26 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2022-09-13 16:04:27 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2022-09-13 16:04:27 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2022-09-13 16:04:28 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2022-09-13 16:04:28 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
""2022-09-13 16:04:30 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
""2022-09-13 16:04:30 [restartedMain] INFO  c.c.c.CaloriesValuesApplication - Started CaloriesValuesApplication in 14.389 seconds (JVM running for 17.205)
""2022-09-13 16:09:03 [http-nio-8083-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2022-09-13 16:09:03 [http-nio-8083-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2022-09-13 16:09:03 [http-nio-8083-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
"
